id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id3004672,1,2016-06-30 23:59:58,1,-73.9881286621094,40.7320289611816,-73.9901733398438,40.7566795349121,N
id3505355,1,2016-06-30 23:59:53,1,-73.9642028808594,40.6799926757813,-73.9598083496094,40.655403137207,N
id1217141,1,2016-06-30 23:59:47,1,-73.9974365234375,40.7375831604004,-73.9861602783203,40.7295227050781,N
id2150126,2,2016-06-30 23:59:41,1,-73.9560699462891,40.771900177002,-73.9864273071289,40.73046875,N
id1598245,1,2016-06-30 23:59:33,1,-73.97021484375,40.761474609375,-73.9615097045899,40.7558898925781,N
id0668992,1,2016-06-30 23:59:30,1,-73.9913024902344,40.7497978210449,-73.9805145263672,40.786548614502,N
id1765014,1,2016-06-30 23:59:15,1,-73.9783096313477,40.7415504455566,-73.9520721435547,40.7170028686523,N
id0898117,1,2016-06-30 23:59:09,2,-74.0127105712891,40.7015266418457,-73.9864807128906,40.7195091247559,N
id3905224,2,2016-06-30 23:58:55,2,-73.9923324584961,40.7305107116699,-73.875617980957,40.8752136230469,N
id1543102,2,2016-06-30 23:58:46,1,-73.9931793212891,40.7487602233887,-73.9793090820313,40.7613105773926,N
id3024712,1,2016-06-30 23:58:32,4,-73.9685287475586,40.6784324645996,-73.9665908813477,40.6357116699219,N
id3665810,2,2016-06-30 23:58:05,1,-73.9827728271484,40.756908416748,-73.9746932983398,40.7533302307129,N
id1836461,1,2016-06-30 23:58:01,1,-73.9211044311523,40.7672920227051,-73.9368591308594,40.7740440368652,N
id3457080,2,2016-06-30 23:57:57,1,-73.9868011474609,40.7349166870117,-73.9758987426758,40.756893157959,N
id3376065,1,2016-06-30 23:57:25,1,-73.9963455200195,40.748161315918,-73.9508285522461,40.7828254699707,N
id3008739,1,2016-06-30 23:57:22,1,-73.9680252075195,40.7622833251953,-73.9347915649414,40.7974357604981,N
id0902216,2,2016-06-30 23:56:44,1,-74.0077133178711,40.7406806945801,-73.9688110351563,40.7538604736328,N
id3564824,2,2016-06-30 23:55:36,5,-73.9842987060547,40.724983215332,-73.981819152832,40.7405967712402,N
id0820280,2,2016-06-30 23:55:28,1,-73.9525985717773,40.7683219909668,-73.9485549926758,40.7737236022949,N
id0775088,2,2016-06-30 23:55:20,1,-73.9666900634766,40.7940902709961,-73.9207763671875,40.8300590515137,N
id1468488,2,2016-06-30 23:55:13,1,-73.9946899414062,40.7258186340332,-73.9871597290039,40.7292594909668,N
